"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.solidToLiquid","p","p_rgh","rho"
0.0002464,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0002618,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0002618,4.6e-06,3.3e-05,293.16,0,0,0,0,0,1,0,0,0,2650
0.0002772,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0002772,4.6e-06,3.3e-05,293.16,0,0,0,0,0,1,0,0,0,2650
0.0002926,0,3.3e-05,293.16,0,0,0,0,0,1,0,0,0,2650
0.0002926,4.6e-06,3.3e-05,293.17,0,0,0,0,0,1,0,0,0,2650
0.000308,0,3.3e-05,293.16,0,0,0,0,0,1,0,0,0,2650
0.000308,4.6e-06,3.3e-05,293.19,0,0,0,0,0,1,0,0,0,2650
0.0003234,0,3.3e-05,293.17,0,0,0,0,0,1,0,0,0,2650
0.0003234,4.6e-06,3.3e-05,293.22,0,0,0,0,0,1,0,0,0,2650
0.0003388,0,3.3e-05,293.18,0,0,0,0,0,1,0,0,0,2650
0.0003388,4.6e-06,3.3e-05,293.29,0,0,0,0,0,1,0,0,0,2650
0.0003542,0,3.3e-05,293.21,0,0,0,0,0,1,0,0,0,2650
0.0003542,4.6e-06,3.3e-05,293.39,0,0,0,0,0,1,0,0,0,2650
0.0003696,0,3.3e-05,293.25,0,0,0,0,0,1,0,0,0,2650
0.0003696,4.6e-06,3.3e-05,293.56,0,0,0,0,0,1,0,0,0,2650
0.000385,0,3.3e-05,293.32,0,0,0,0,0,1,0,0,0,2650
0.000385,4.6e-06,3.3e-05,293.82,0,0,0,0,0,1,0,0,0,2650
0.0004004,0,3.3e-05,293.4,0,0,0,0,0,1,0,0,0,2650
0.0004004,4.6e-06,3.3e-05,294.17,0,0,0,0,0,1,0,0,0,2650
0.0004158,0,3.3e-05,293.5,0,0,0,0,0,1,0,0,0,2650
0.0004158,4.6e-06,3.3e-05,294.58,0,0,0,0,0,1,0,0,0,2650
0.0004312,0,3.3e-05,293.6,0,0,0,0,0,1,0,0,0,2650
0.0004312,4.6e-06,3.3e-05,294.97,0,0,0,0,0,1,0,0,0,2650
0.0004466,0,3.3e-05,293.66,0,0,0,0,0,1,0,0,0,2650
0.0004466,4.6e-06,3.3e-05,295.22,0,0,0,0,0,1,0,0,0,2650
0.000462,0,3.3e-05,293.66,0,0,0,0,0,1,0,0,0,2650
0.000462,4.6e-06,3.3e-05,295.23,0,0,0,0,0,1,0,0,0,2650
0.0004774,0,3.3e-05,293.6,0,0,0,0,0,1,0,0,0,2650
0.0004774,4.6e-06,3.3e-05,294.98,0,0,0,0,0,1,0,0,0,2650
0.0004928,0,3.3e-05,293.5,0,0,0,0,0,1,0,0,0,2650
0.0004928,4.6e-06,3.3e-05,294.58,0,0,0,0,0,1,0,0,0,2650
0.0005082,0,3.3e-05,293.4,0,0,0,0,0,1,0,0,0,2650
0.0005082,4.6e-06,3.3e-05,294.16,0,0,0,0,0,1,0,0,0,2650
0.0005236,0,3.3e-05,293.31,0,0,0,0,0,1,0,0,0,2650
0.0005236,4.6e-06,3.3e-05,293.8,0,0,0,0,0,1,0,0,0,2650
0.000539,0,3.3e-05,293.25,0,0,0,0,0,1,0,0,0,2650
0.000539,4.6e-06,3.3e-05,293.54,0,0,0,0,0,1,0,0,0,2650
0.0005544,0,3.3e-05,293.21,0,0,0,0,0,1,0,0,0,2650
